title,price,rating,color,size,gender
T-shirt 2,1634400,3.9,3 Colors,M,Women
Hoodie 3,7950080,4.8,3 Colors,L,Unisex
Pants 4,7476960,3.3,3 Colors,XL,Men
Outerwear 5,5145440,3.5,3 Colors,XXL,Women
Jacket 6,2453920,3.3,3 Colors,S,Unisex
Crewneck 7,6892000,4.3,3 Colors,M,Men
T-shirt 8,7802560,3.1,3 Colors,L,Women
Hoodie 9,3972160,3.2,3 Colors,XL,Unisex
Pants 10,3100160,4.2,3 Colors,XXL,Men
Jacket 12,8527840,3.9,3 Colors,M,Unisex
Crewneck 13,5447200,3.2,3 Colors,L,Men
T-shirt 14,3248800,3.8,3 Colors,XL,Women
Hoodie 15,2184160,3.6,3 Colors,XXL,Unisex
Outerwear 17,841600,3.8,3 Colors,M,Women
Jacket 18,5500000,3.8,3 Colors,L,Unisex
Crewneck 19,1308960,3.6,3 Colors,XL,Men
T-shirt 20,1325600,3.4,3 Colors,XXL,Women
Pants 22,4319680,4.9,3 Colors,M,Men
Outerwear 23,4655840,3.7,3 Colors,L,Women
Jacket 24,8223520,3.9,3 Colors,XL,Unisex
Crewneck 25,8322559,3.3,3 Colors,XXL,Men
T-shirt 26,7292320,4.6,3 Colors,S,Women
Hoodie 27,3551840,4.8,3 Colors,M,Unisex
Pants 28,5216160,4.0,3 Colors,L,Men
Outerwear 29,861600,3.1,3 Colors,XL,Women
Jacket 30,8610240,3.7,3 Colors,XXL,Unisex
T-shirt 32,6657920,3.4,3 Colors,M,Women
Hoodie 33,7248160,3.5,3 Colors,L,Unisex
Pants 34,8362719,3.8,3 Colors,XL,Men
Outerwear 35,1356160,3.8,3 Colors,XXL,Women
Jacket 36,7249280,3.7,3 Colors,S,Unisex
Crewneck 37,6006080,4.0,3 Colors,M,Men
T-shirt 38,4866080,3.2,3 Colors,L,Women
Hoodie 39,6431200,4.6,3 Colors,XL,Unisex
Pants 40,5853600,3.1,3 Colors,XXL,Men
